"Year","country","iso2c","iso3c","Agriculture_GDP","Industry_GDP","Services_GDP","FDI_percent_GDP","Capital_Formation","Population_Growth","PoliticalCycle","log_agric","log_fdi","log_gcf"
1992,"Ghana","GH","GHA",44.779057218035,17.3750880792044,37.4350622129064,0.350680105249075,12.8,2.48576941139296,1,3.80174055730974,-1.04788085213326,2.54944517092557
1993,"Ghana","GH","GHA",36.9308643888329,24.8185739004674,27.5276981482916,2.09418016063635,22.2101701918855,2.46951819870346,1,3.60904763473279,0.739162145345475,3.10055030072639
1994,"Ghana","GH","GHA",37.790585975024,24.8991354466859,27.3352545629203,4.27806801152738,23.9577329490874,2.40415651514833,1,3.63206002332808,1.45350150850658,3.17629115061906
1995,"Ghana","GH","GHA",38.7785905027284,24.2849955493634,27.7461718074745,1.64748906691435,20.02141465743,2.36010348077285,1,3.65786830316966,0.499252351205192,2.99680243359991
1996,"Ghana","GH","GHA",38.9550830342103,23.5785407498214,26.2463950893841,1.73085450713045,21.1999964722587,2.33565497080505,1,3.66240926532234,0.548615221321555,3.05400101527506
1997,"Ghana","GH","GHA",35.7815976306205,25.6678050646903,27.8876812107642,1.18697923958791,24.8062125356045,2.37895957415826,1,3.57743372858234,0.171411625658163,3.2110941272676
1998,"Ghana","GH","GHA",36.0141073080481,25.2665356151711,28.2331174838113,2.23734900555042,23.1093894542091,2.43236771924415,1,3.58391073136325,0.805291685336871,3.14023900482043
1999,"Ghana","GH","GHA",35.7763437934285,25.4127834089738,28.4134879833623,3.15750877559549,21.0005345047085,2.44120807599366,1,3.57728688709705,1.14978335452463,3.04454789000468
2000,"Ghana","GH","GHA",35.2715219593039,25.4039222907651,28.8150262406777,3.32941946782064,23.9986004971918,2.51243583964957,1,3.5630758949842,1.20279795480662,3.17799551603069
2001,"Ghana","GH","GHA",35.2418001245052,25.2159797429519,29.1589069809591,1.68056701347756,26.5994216024397,2.6631054412646,0,3.5622328816165,0.519131244494504,3.28088947128206
2002,"Ghana","GH","GHA",35.1483770619295,25.2756743481642,29.2141132168147,0.955694277966518,19.7,2.75013769977312,0,3.55957844541062,-0.0453172099974487,2.98061863574394
2003,"Ghana","GH","GHA",36.5454059013539,25.2099150968066,29.0667601805988,1.7916409392104,22.9369279766376,2.69999623325849,0,3.59855548476228,0.583131925732044,3.1327481871556
2004,"Ghana","GH","GHA",37.9524260930096,24.716756265122,28.6782943752065,1.56810546990152,28.3775066840527,2.64856422445373,0,3.63633343046784,0.449868183633903,3.34559681318791
2005,"Ghana","GH","GHA",37.4530129301836,25.1254359413042,28.9146295321445,1.34923986570129,29.0021406363098,2.62275723095941,0,3.62308715880146,0.299541371427662,3.36736964230744
2006,"Ghana","GH","GHA",28.3330959873622,19.3820947702815,45.4706783561681,3.04529018468516,22.46580573765,2.59967236461776,0,3.34403059087049,1.1135961953684,3.11199440823327
2007,"Ghana","GH","GHA",27.294114484663,19.4928065701,47.1685501017468,5.57118876952139,15.3845449877747,2.57742881770877,0,3.30667109230639,1.71760845478007,2.73336343328139
2008,"Ghana","GH","GHA",29.4080967578414,19.3995645523361,46.173896812569,9.46643908231485,16.4919639408033,2.5377798286274,0,3.38127003635562,2.24775281560953,2.8028732283763
2009,"Ghana","GH","GHA",30.9933842095403,18.5140921293401,47.9362071143916,9.10808669100415,16.4317931081367,2.49528498609835,1,3.43377376911396,2.20916266627259,2.79921806231681
2010,"Ghana","GH","GHA",28.0387379636491,18.0149428066597,48.1811608328439,7.84948455261709,13.1001937072805,2.43301424000427,1,3.33358705272442,2.06044786755147,2.57262701691309
2011,"Ghana","GH","GHA",23.663704967184,23.8636600934779,45.844878600683,8.2558797134245,12.8099929663177,2.40497145453178,1,3.1639424383106,2.11092563903817,2.55022556683103
2012,"Ghana","GH","GHA",22.1311546901572,27.1365335859295,47.5829502482676,7.98251565917851,16.967722122965,2.4199090803465,1,3.09698633029584,2.07725360729338,2.83131284059393
2013,"Ghana","GH","GHA",20.3698425406713,34.0898222065997,40.5885509559734,5.13652057795327,24.7715380530843,2.40927930949909,1,3.0140555002467,1.63637591988698,3.20969533495604
2014,"Ghana","GH","GHA",19.5837731324669,33.8982030516643,37.4136837490477,6.13944071965129,27.1650663374465,2.36498553072391,1,2.97470132193208,1.81473365000561,3.30193182201952
